Title,Authors,Publisher,PublishedDate,ISBN,PageCount,Categories,AverageRating,RatingsCount,Language,TitleWordCount
Plan B 2.0,Lester Russell Brown,W W Norton & Company Incorporated,2006-01-01,9780393328318,365,Science,3.0,1,en,3
Counseling Across Cultures,"Paul B. Pedersen, Walter J. Lonner, Juris G. Draguns, Joseph E. Trimble, Maria R. Scharron-del Rio",SAGE Publications,2015-01-14,9781483311104,585,Social Science,5.0,1,en,3
Nonviolent Communication: A Language of Life,"Marshall B. Rosenberg, Deepak Chopra",PuddleDancer Press,2015-09-01,9781892005540,233,Psychology,5.0,2,en,6
Junie B. Jones #4: Junie B. Jones and Some Sneaky Peeky Spying,Barbara Park,Random House Books for Young Readers,1994-05-24,9780679851011,84,Juvenile Fiction,4.5,6,en,12
ZOM-B,Darren Shan,Simon and Schuster,2012-09-27,9780857077554,174,Juvenile Fiction,5.0,1,en,1
P-40 Warhawk vs Ki-43 Oscar,Carl Molesworth,Bloomsbury Publishing,2012-11-20,9781782007463,82,History,5.0,2,en,5
P Is for Pterodactyl,"Raj Haldar, Chris Carpenter","Sourcebooks, Inc.",2018-11-13,9781492695332,35,Juvenile Nonfiction,4.0,1,en,4
Arsenic and Adobo,Mia P. Manansala,Penguin,2021-05-04,9780593201671,337,Fiction,5.0,1,en,3
Me and Mister P,Maria Farrer,Oxford University Press - Children,2017-01-05,9780192744227,227,Juvenile Fiction,5.0,1,en,4
J & P Transformer Book,Martin Heathcote,Elsevier,2011-04-01,9780080551784,989,Technology & Engineering,4.0,7,en,5
Revolutionary Suicide,Huey P. Newton,Penguin,2009-09-29,9781101140475,386,Biography & Autobiography,5.0,4,en,2
The Paperboy (Caldecott Honor Book),Dav Pilkey,Scholastic Inc.,2016-02-23,9780545356794,38,Juvenile Fiction,5.0,1,en,5
A Power Stronger Than Itself,George E. Lewis,University of Chicago Press,2008-09-15,9780226477039,726,Social Science,3.0,1,en,5
Tales of a Fourth Grade Nothing,Judy Blume,Penguin,2011-12-01,9781101564073,165,Juvenile Fiction,4.0,25,en,6
Voracious Science and Vulnerable Animals,John P. Gluck,University of Chicago Press,2016-10-26,9780226375656,350,Biography & Autobiography,5.0,1,en,5
A Master of Djinn,P. Djèlí Clark,Tordotcom,2021-05-11,9781250267672,370,Fiction,4.0,1,en,4
P’eng P’ai and the Hai-Lu-feng Soviet,Fernando Galbiati,Stanford University Press,1985-01-01,9780804712194,506,Political Science,5.0,1,en,6
Code of Ethics for Nurses with Interpretive Statements,American Nurses Association,Nursesbooks.org,2001-01-01,9781558101760,42,Business & Economics,5.0,1,en,8
Seize the Time,Bobby Seale,Black Classic Press,1991-01-01,9780933121300,452,Biography & Autobiography,4.5,2,en,3
Why Men Love Bitches,Sherry Argov,Simon and Schuster,2002-01-01,9781580627566,288,Family & Relationships,2.0,3,en,4
Art Sex Music,Cosey Fanni Tutti,Faber & Faber,2017-04-04,9780571328543,558,Biography & Autobiography,1.0,1,en,3
Convex Optimization,"Stephen P. Boyd, Lieven Vandenberghe",Cambridge University Press,2004-03-08,9780521833783,744,Business & Economics,4.5,7,en,2
The Cult of Statistical Significance,"Stephen Thomas Ziliak, Deirdre Nansen McCloskey",University of Michigan Press,2008-02-19,9780472050079,349,Business & Economics,3.5,2,en,5
Wired for War,P. W. Singer,Penguin,2009-01-22,9781440685972,536,Technology & Engineering,4.5,2,en,3
If You Give a Mouse a Cookie 25th Anniversary Edition,Laura Joffe Numeroff,Harper Collins,1985-05-09,9780060245863,46,Juvenile Fiction,5.0,1,en,10
Coronavirus: A Book for Children,"Kate Wilson, Elizabeth Jenner, Nia Roberts",Nosy Crow,2020-04-07,9781839941467,29,Juvenile Nonfiction,4.0,9,en,5
Paradise Lost,Kate Brian,Simon and Schuster,2009-02-24,9781439156667,257,Young Adult Fiction,4.5,6,en,2
Pete the Cat and the Perfect Pizza Party,"James Dean, Kimberly Dean",HarperCollins,2019-09-03,9780062404381,42,Juvenile Fiction,5.0,1,en,8
The End of White Christian America,Robert P. Jones,Simon and Schuster,2016-07-12,9781501122293,320,History,3.0,1,en,6
A Painted House,John Grisham,Dell Books,2002-01-01,9780440237228,480,Fiction,4.0,2,en,3
Research Design,"John W. Creswell, J. David Creswell",SAGE Publications,2017-12-12,9781506386690,284,Social Science,5.0,1,en,2
Economics: European Edition,"Paul Krugman, Robin Wells, Kathryn Graddy",Macmillan,2007-04-06,9780716799566,1044,Business & Economics,4.0,1,en,3
The Painted Girls,Cathy Marie Buchanan,Penguin,2013-01-10,9781101603796,343,Fiction,3.0,1,en,3
The Dog Stars,Peter Heller,Vintage,2013-05-07,9780307950475,337,Fiction,4.0,1,en,3
Captain Awesome to the Rescue!,Stan Kirby,Simon and Schuster,2012-04-03,9781442435629,128,Juvenile Fiction,5.0,1,en,5
Pardonable Lies,Jacqueline Winspear,Henry Holt and Company,2007-04-01,9781429900997,388,Fiction,5.0,1,en,2
Tacky the Penguin,Helen Lester,Houghton Mifflin Harcourt,2010-12-06,9780547347424,36,Juvenile Fiction,5.0,2,en,3
"""A"" is for Alibi",Sue Grafton,Holt Paperbacks,2010-04-01,9781429901345,320,Fiction,3.5,10,en,4
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,W. W. Norton & Company,2018-02-06,9780393355680,429,Biography & Autobiography,5.0,1,en,10
Harry Potter and the Cursed Child: The Official Script Book of the Original West,"J-K Rowling, Jack Thorne, John Tiffany",Harry Potter (Hardcover),2016-08-22,9780606384964,320,Juvenile Nonfiction,3.5,3,en,14
The White Card,Claudia Rankine,Graywolf Press,2019-03-19,9781555978860,90,Drama,5.0,1,en,3
The Mission of Addition,Brian P. Cleary,Millbrook Press,2005-08-01,9780822563518,36,Juvenile Fiction,5.0,1,en,4
The Mythical Man-Month,Frederick P. Brooks Jr.,Pearson Education,1995-08-02,9780132119160,348,Computers,4.5,6,en,3
Design of Steel Structures,P Dayaratnam,S. Chand Publishing,2008-01-01,9788121923200,884,Technology & Engineering,5.0,1,en,4
"Statistics and Probability with Applications for Engineers and Scientists Using MINITAB, R and JMP","Bhisham C. Gupta, Irwin Guttman, Kalanka P. Jayalath",John Wiley & Sons,2019-12-24,9781119516644,1040,Mathematics,4.0,1,en,14
Productivity and Reliability-Based Maintenance Management,Matthew P. Stephens,Purdue University Press,2010-01-01,9781557535924,338,Business & Economics,4.0,1,en,5
Physical Activity and Health of Hong Kong Youth,"David P. Johns, Koenraad J. Lindner",Chinese University Press,2006-01-01,9789629962388,264,Exercise for youth,2.0,1,en,8
Thirteen Virtues to a New Life,Ralph P. Brown (Tawennihake),Booksurge Publishing,2009-12-21,9781439244821,122,Self-Help,4.0,1,en,6
Skin Troubles Cured by Homeopathy,P. Sivaraman,B. Jain Publishers,2001-01-01,9788170214076,424,Health & Fitness,2.0,2,en,5
R for Data Science,"Hadley Wickham, Garrett Grolemund","""O'Reilly Media, Inc.""",2016-12-12,9781491910368,521,Computers,5.0,1,en,4
The R Book,Michael J. Crawley,John Wiley & Sons,2007-06-13,9780470515068,953,Mathematics,4.0,3,en,3
The Book of R,Tilman M. Davies,No Starch Press,2016-07-16,9781593276515,833,Computers,1.0,1,en,4
Data Manipulation with R,Phil Spector,Springer Science & Business Media,2008-03-19,9780387747309,158,Computers,3.0,1,en,4
A Beginner's Guide to R,"Alain Zuur, Elena N. Ieno, Erik Meesters",Springer Science & Business Media,2009-06-24,9780387938370,228,Computers,4.0,1,en,5
Hands-On Programming with R,Garrett Grolemund,"""O'Reilly Media, Inc.""",2014-06-13,9781449359102,408,Computers,5.0,1,en,4
Discovering Statistics Using R,"Andy Field, Jeremy Miles, Zoë Field",SAGE,2012-03-07,9781446289150,994,Reference,5.0,1,en,4
R Graphics Cookbook,Winston Chang,"""O'Reilly Media, Inc.""",2013-01-01,9781449316952,414,Computers,5.0,1,en,3
Javascript for R,John Coene,CRC Press,2021-07-15,9781000408171,316,Business & Economics,5.0,1,en,3
Nona the Ninth,Tamsyn Muir,Tordotcom,2022-09-13,9781250854124,406,Fiction,4.0,1,en,3
The Art of R Programming,Norman Matloff,No Starch Press,2011-10-11,9781593273842,404,Computers,2.0,2,en,5
Applied Econometrics with R,"Christian Kleiber, Achim Zeileis",Springer Science & Business Media,2008-12-10,9780387773186,229,Business & Economics,5.0,1,en,4
R Cookbook,Paul Teetor,"""O'Reilly Media, Inc.""",2011-03-03,9781449307264,438,Computers,4.5,3,en,2
R For Dummies,"Andrie de Vries, Joris Meys",John Wiley & Sons,2015-07-07,9781119055808,435,Computers,5.0,1,en,3
Linear Mixed-Effects Models Using R,"Andrzej Gałecki, Tomasz Burzykowski",Springer Science & Business Media,2013-02-05,9781461439004,558,Mathematics,5.0,1,en,5
Forecasting: principles and practice,"Rob J Hyndman, George Athanasopoulos",OTexts,2018-05-08,9780987507112,380,Business & Economics,5.0,2,en,4
Latent Variable Modeling with R,"W. Holmes Finch, Brian F. French",Routledge,2015-06-26,9781317970767,341,Psychology,4.0,2,en,5
If a Stranger Approaches You,Laura Kasischke,Sarabande Books,2013-03-05,9781936747511,162,Fiction,5.0,1,en,5
Statistics,Michael J. Crawley,John Wiley & Sons,2005-05-06,9780470022986,348,Mathematics,4.0,3,en,1
Introductory Time Series with R,"Paul S.P. Cowpertwait, Andrew V. Metcalfe",Springer Science & Business Media,2009-05-28,9780387886985,262,Mathematics,3.0,2,en,5
Applied Predictive Modeling,"Max Kuhn, Kjell Johnson",Springer Science & Business Media,2013-05-17,9781461468493,595,Medical,5.0,1,en,3
A Game of Thrones,George R. R. Martin,Bantam,2003-01-01,9780553897845,835,Fiction,4.0,157,en,4
Econometrics,Fumio Hayashi,Princeton University Press,2011-12-12,9781400823833,708,Business & Economics,5.0,1,en,1
Sleep Disorders and Sleep Deprivation,"Institute of Medicine, Board on Health Sciences Policy, Committee on Sleep Medicine and Research",National Academies Press,2006-10-13,9780309101110,425,Medical,5.0,1,en,5
The Road,Cormac McCarthy,Vintage Books,2007-01-01,9780307386458,297,Fiction,3.5,8,en,2
"Concepts, Techniques, and Models of Computer Programming","Peter Van Roy, Seif Haridi",MIT Press,2004-02-20,9780262220699,944,Computers,3.0,5,en,7
Blood of Elves,Andrzej Sapkowski,Orbit,2009-05-01,9780316073714,333,Fiction,4.0,10,en,3
Programming with Data,John M. Chambers,Springer Science & Business Media,1998-06-19,9780387985039,494,Computers,3.0,1,en,3
Hero,Perry Moore,Random House,2008-01-01,9780552555869,434,Family secrets,5.0,2,en,1
"Python Crash Course, 2nd Edition",Eric Matthes,No Starch Press,2019-05-03,9781593279288,546,Computers,5.0,1,en,5
R in Action,Robert Kabacoff,Manning Publications,2011-01-01,9781935182399,447,Computers,5.0,1,en,3
The Elements of Statistical Learning,"Trevor Hastie, Robert Tibshirani, Jerome Friedman",Springer Science & Business Media,2013-11-11,9780387216065,545,Mathematics,4.0,1,en,5
Heart's Blood,Juliet Marillier,Penguin,2009-11-03,9781101149249,381,Fiction,4.5,2,en,2
Falling for Rapunzel,Leah Wilcox,Puffin,,9780141500799,32,Children's stories,5.0,1,en,3
The Basics of Item Response Theory Using R,"Frank B. Baker, Seock-Ho Kim",Springer,2017-04-25,9783319542058,177,Social Science,4.0,1,en,8
A Crown of Swords,Robert Jordan,Orbit Books,1996-01-01,9781857233667,658,Fantasy fiction,5.0,1,en,4
Agendas and Instability in American Politics,"Frank R. Baumgartner, Bryan D. Jones",University of Chicago Press,,9780226039398,316,Political Science,3.0,2,en,6
Exploring Leadership,"Susan R. Komives, Nance Lucas, Timothy R. McMahon",John Wiley & Sons,2013-05-17,9781118417485,610,Education,4.0,2,en,2
Financial Analytics with R,"Mark J. Bennett, Dirk L. Hugen",Cambridge University Press,2016-10-06,9781316776759,397,Business & Economics,5.0,1,en,4
Quantifying the User Experience,"Jeff Sauro, James R Lewis",Elsevier,2012-03-16,9780123849687,313,Business & Economics,5.0,1,en,4
Financial Valuation,James R. Hitchner,John Wiley & Sons,2006-09-30,9780470046210,1370,Business & Economics,5.0,2,en,2
Jews and Power,Ruth R. Wisse,Schocken,2008-12-24,9780307533135,258,Religion,5.0,1,en,3
Architects of the Holocaust,Darlene R. Stille,Capstone,2011-01-01,9780756544416,34,History,5.0,1,en,4
Mail Call,R. Lee Ermey,Hyperion,2005-01-12,9781401307790,260,History,3.0,1,en,2
Detective Fiction and the Rise of Forensic Science,Ronald R. Thomas,Cambridge University Press,1999-01-01,9780521527620,368,Law,5.0,1,en,8
Selected Works of Merton H. Miller,Merton H. Miller,University of Chicago Press,,9780226527475,467,Business & Economics,3.5,3,en,6
Humble Inquiry,Edgar H. Schein,Berrett-Koehler Publishers,2013-09-02,9781609949839,132,Business & Economics,4.0,1,en,2
Heist Society,Ally Carter,"Little, Brown Books for Young Readers",2010-02-09,9781423139386,269,Young Adult Fiction,4.5,6,en,2
H Is for Hawk,Helen Macdonald,"Grove/Atlantic, Inc.",2015-03-03,9780802191670,262,Biography & Autobiography,2.0,1,en,4
A Whole New Mind,Daniel H. Pink,Penguin,2006-03-07,9781101157909,305,Psychology,3.0,4,en,4
Drive,Daniel H. Pink,Penguin,2011-04-05,9781101524381,275,Business & Economics,4.5,12,en,1
All About H. Hatterr,G V Desani,New York Review of Books,2007-11-06,9781590172421,324,Fiction,2.0,1,en,4
Using Language,Herbert H. Clark,Cambridge University Press,1996-05-16,9780521567459,452,Language Arts & Disciplines,4.0,2,en,2
The Everyday Language of White Racism,Jane H. Hill,John Wiley & Sons,2009-01-30,9781444304749,240,Social Science,3.0,2,en,6
A Little Life,Hanya Yanagihara,Vintage,2016-01-26,9780804172707,833,Fiction,2.0,1,en,3
Sounder,William H. Armstrong,Harper Collins,2011-07-12,9780062105561,132,Juvenile Fiction,5.0,2,en,1
Make Your Bed,Admiral William H. McRaven,Grand Central Publishing,2017-04-04,9781455570232,144,Self-Help,4.0,1,en,3
The Little Red Hen,Paul Galdone,Houghton Mifflin Harcourt,1985-03-18,9780547346076,48,Juvenile Fiction,3.5,8,en,4
Operating Systems,"Remzi H. Arpaci-Dusseau, Andrea C. Arpaci-Dusseau",Createspace Independent Publishing Platform,,9781985086593,714,Operating systems (Computers),5.0,1,en,2
A Primer of Ecclesiastical Latin,John F. Collins,CUA Press,1988-01-01,9780813206677,476,Foreign Language Study,4.5,2,en,5
Keeping the City Going,Brian Floca,Simon and Schuster,2021-04-27,9781534493780,36,Juvenile Nonfiction,4.0,1,en,4
The 100,Michael H. Hart,Citadel Press,1978-01-01,9780806513508,600,Biography & Autobiography,4.5,17,en,2
The Napping House,Audrey Wood,Houghton Mifflin Harcourt,2005-01-01,9780152056209,68,Juvenile Fiction,4.0,1,en,3
The Red Winter,Henry H. Neff,Random House Books for Young Readers,2014-11-25,9780375971402,655,Juvenile Fiction,5.0,2,en,3
The Strange Adventures of H,Sarah Burton,Legend Press Ltd,2020-05-01,9781789551273,272,Fiction,5.0,1,en,5
Curious George Race Day (CGTV Reader),H. A. Rey,Houghton Mifflin Harcourt,2010-09-06,9780547505749,27,Juvenile Fiction,5.0,1,en,6
The Big Honey Hunt,"Stan Berenstain, Jan Berenstain",Random House Books for Young Readers,2011-02-09,9780375983153,73,Juvenile Fiction,4.5,2,en,4
The Hakawati,Rabih Alameddine,Anchor,2008-04-15,9780307269270,528,Fiction,5.0,1,en,2
Alpha Oops!,Alethea Kontis,Candlewick Press,2006-01-01,9780763627287,48,Juvenile Fiction,5.0,1,en,2
Decisive,"Chip Heath, Dan Heath",Random House Canada,2013-03-26,9780307361141,326,Self-Help,5.0,1,en,1
It's Not the Stork!,Robie H. Harris,Candlewick Press,2011-08-09,9780763658632,63,Juvenile Nonfiction,3.0,2,en,4
Half a Life,V. S. Naipaul,Vintage,2009-04-23,9780307556561,231,Fiction,1.0,1,en,3
Harold and the Purple Crayon,Crockett Johnson,HarperCollins,2015-09-29,9780062430403,69,Juvenile Fiction,5.0,1,en,5
Half the Sky,"Nicholas D. Kristof, Sheryl WuDunn",Vintage,2010-06-01,9780307387097,322,Political Science,3.5,4,en,3
Kingdom of the Wicked,Kerri Maniscalco,"Little, Brown Books for Young Readers",2020-10-27,9780316428446,353,Young Adult Fiction,5.0,2,en,4
The Whole Business with Kiffo and the Pitbull,Barry Jonsberg,Allen & Unwin,2004-01-01,9781741141122,268,Young Adult Fiction,2.0,3,en,8
Mastery,Robert Greene,Penguin,2012-11-13,9781101601020,354,Self-Help,5.0,1,en,1
A Bad Boy Can Be Good for a Girl,Tanya Lee Stone,Wendy Lamb Books,2007-12-18,9780307433053,242,Young Adult Fiction,5.0,2,en,9
Vocabulary Workshop,Jerome Shostak,Ticknor & Fields,,9780821506097,148,Language Arts & Disciplines,3.0,2,en,2
LaRose,Louise Erdrich,HarperCollins,2016-05-10,9780062277046,311,Fiction,4.0,1,en,1
Have His Carcase,Dorothy L. Sayers,Open Road Media,2012-07-31,9781453258910,666,Fiction,4.5,2,en,3
The Last Talk with Lola Faye,Thomas H. Cook,HMH,2010-08-06,9780547541273,293,Fiction,5.0,1,en,6
Sweatshops on Wheels,Michael H. Belzer,"Oxford University Press, USA",2000-01-01,9780195128864,280,Business & Economics,1.0,1,en,3
"Droit Et Valeur Humaine, L'Autre Dans La Philosophie Du Droit, de La Grece Antique L'Epoque Moderne",Stamatios Tzitzis,BUENOS BOOKS AMERICA LLC,2010-05-19,9782915495737,106,Law,5.0,1,en,16
One L,Scott Turow,"Farrar, Straus and Giroux",2010-08-03,9781429939560,336,Biography & Autobiography,4.0,6,en,2
A Wrinkle in Time,Madeleine L'Engle,"Farrar, Straus and Giroux (BYR)",2010-04-01,9781429915649,260,Juvenile Fiction,4.0,83,en,4
Words,Ginny L. Yttrup,B&H Publishing Group,,9781433671708,3,Fiction,4.0,1,en,1
Stolen Songbird,Danielle L. Jensen,Watkins Media Limited,2014-04-01,9781908844972,463,Young Adult Fiction,4.0,1,en,2
Miss Nelson is Missing!,"Harry Allard, James Marshall",Houghton Mifflin Harcourt,1977-01-01,9780395401460,36,Juvenile Fiction,5.0,3,en,4
The World Is Flat [Further Updated and Expanded; Release 3.0],Thomas L. Friedman,Macmillan,2007-08-07,9780374292782,682,Computers,4.0,44,en,10
Turn the Ship Around!,L. David Marquet,Penguin,2013-05-16,9781101623695,273,Business & Economics,5.0,1,en,4
I Love You Through and Through,Bernadette Rossetti-Shustak,Scholastic Inc.,2015-12-29,9780545385985,26,Juvenile Fiction,1.0,1,en,6
From Blood and Ash,Jennifer L. Armentrout,Blue Box Press,2020-03-30,9781952457012,343,Fiction,4.5,3,en,4
The Strangeworlds Travel Agency,L.D. Lapinski,Hachette UK,2020-04-30,9781510106031,272,Juvenile Fiction,5.0,1,en,4
Battlefield Earth,L. Ron Hubbard,Galaxy Press  LLC,2016-06-06,9781592123421,1578,Fiction,3.5,4,en,2
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,Simon and Schuster,2009-09-22,9781416985952,34,Juvenile Fiction,4.5,4,en,10
Ten Little Ladybugs,Melanie Gerth,Intervisual/Piggy Toes,2007-06-01,9781581175783,22,Juvenile Fiction,5.0,1,en,3
Obsidian,Jennifer L. Armentrout,Entangled: Teen,2012-05-08,9781622667178,358,Juvenile Fiction,5.0,2,en,1
The Sweet Life in Paris,David Lebovitz,Crown,2009-05-05,9780767932127,306,Travel,4.0,18,en,5
Leaf Jumpers,Carole Gerber,Charlesbridge Publishing,2004-01-01,9781570914973,35,Juvenile Nonfiction,1.0,1,en,2
Caps for Sale,Esphyr Slobodkina,Harper Collins,2011-03-22,9780062009111,48,Juvenile Fiction,5.0,1,en,3
Laura Dean Keeps Breaking Up with Me,Mariko Tamaki,First Second,2019-05-07,9781250261540,154,Young Adult Fiction,5.0,1,en,7
The Grouchy Ladybug,Eric Carle,Harper Collins,1996-08-16,9780064434508,52,Juvenile Fiction,4.0,3,en,3
"Lyle, Lyle, Crocodile",Bernard Waber,Houghton Mifflin Harcourt,1965-01-01,9780395137208,52,Juvenile Fiction,4.0,3,en,3
Sackett,Louis L'Amour,Bantam,2003-09-30,9780553899702,193,Fiction,5.0,1,en,1
Leaf Man,Lois Ehlert,Houghton Mifflin Harcourt,2005-01-01,9780152053048,44,Juvenile Nonfiction,3.0,2,en,2
Llama Llama Red Pajama,Anna Dewdney,Penguin,2018-09-04,9780451480637,33,Juvenile Fiction,5.0,1,en,4
The Lake of Dead Languages,Carol Goodman,Ballantine Books,2005-12-27,9780345490919,434,Fiction,4.0,5,en,5
Lilly's Purple Plastic Purse,Kevin Henkes,Harper Collins,1996-08-19,9780688128975,43,Juvenile Fiction,5.0,1,en,4
Herbal Medicine,"Iris F. F. Benzie, Sissi Wachtel-Galor",CRC Press,2011-03-28,9781439807163,500,Health & Fitness,4.5,7,en,2
"Hot, Flat, and Crowded 2.0",Thomas L. Friedman,Picador,2009-11-24,9781429963688,529,Political Science,2.5,8,en,5
Where the World Ends,Geraldine McCaughrean,Usborne Publishing Ltd,2018-02-01,9781474936521,235,Young Adult Fiction,5.0,3,en,4
Flint,Louis L'Amour,Bantam,2005-01-25,9780553899153,76,Fiction,3.5,3,en,1
The Haunted Mesa,Louis L'Amour,Bantam,2004-08-03,9780553899191,361,Fiction,3.5,3,en,3
Legacy,Kate Brian,Simon and Schuster,2008-06-20,9781439106853,260,Young Adult Fiction,4.5,12,en,1
A World at Arms,Gerhard L. Weinberg,Cambridge University Press,2005-03-28,9780521618267,1216,History,4.0,1,en,4
Making Sense of Math,Cathy L. Seeley,ASCD,2016-04-05,9781416622451,61,Education,5.0,1,en,4
Learning Perl on Win32 Systems,"Randal L. Schwartz, Erik Olson, Tom Christiansen","""O'Reilly Media, Inc.""",1997-01-01,9781565923249,318,Computers,5.0,1,en,5
From Beirut to Jerusalem,Thomas L. Friedman,Macmillan,,9780374158958,564,History,5.0,1,en,4
Hazards Vulnerability and Environmental Justice,Susan L. Cutter,Routledge,2012-05-04,9781136564284,447,Business & Economics,1.0,2,en,5
The Mindful Caregiver,Nancy L. Kriseman,Rowman & Littlefield,2014-02-27,9781442223554,231,Medical,4.0,1,en,3
Advances in the Biology and Management of Modern Bed Bugs,"Stephen L. Doggett, Dini M. Miller, Chow-Yang Lee",John Wiley & Sons,2018-04-16,9781119171522,437,Science,3.0,1,en,10
One L,Scott Turow,Grand Central Publishing,1988-01-01,9780446673785,308,Law,4.0,6,en,2
Contemporary Business,"Louis E. Boone, David L. Kurtz, Brahm Canzer",John Wiley & Sons,2021-08-10,9781119812630,674,Business & Economics,5.0,1,en,2
A Contract with the Earth,"Newt Gingrich, Terry L. Maple",JHU Press,2007-11-01,9780801891656,264,Nature,2.5,3,en,5
Learn to Program with C,Noel Kalicharan,Apress,2015-12-16,9781484213711,323,Computers,3.5,2,en,5
Programming In C: A Practical Approach,Ajay Mittal,Pearson Education India,,9788131729342,768,C (Computer program language),4.5,11,en,6
Data Structure Using C,"Dr. Prabhakar Gupta, Vineet Agarwal, Manish Varshney",Firewall Media,2007-01-01,9788131802434,318,C (Computer program language),5.0,1,en,4
